employee_id,first_name,last_name,position,store_id,hire_date,email,phone
1,Sarah,Miller,Cashier,1,2020-06-14,1b34a1ac2b@example.com,+17495469411
2,Michael,Smith,Customer Service,2,2020-02-26,34d3887b24@example.com,+13239691784
3,Lisa,Johnson,Customer Service,3,2021-09-23,9fd7cb7bfe@example.com,+15313907137
4,Sarah,Smith,Manager,4,2019-01-10,8adac097c9@example.com,+13915477536
5,David,Williams,Sales Associate,5,2020-06-26,aad196325a@example.com,+11502744466
6,David,Williams,Manager,6,2018-11-11,f0ab12c2ae@example.com,+16608544287
7,Jane,Smith,Manager,7,2022-03-28,bb5acf165a@example.com,+11094533077
8,Lisa,Williams,Customer Service,8,2019-07-28,b2289f7f72@example.com,+11032977497
9,Lisa,Davis,Manager,9,2018-10-06,717e5a1978@example.com,+12740506286
10,Michael,Smith,Stock Clerk,10,2019-12-07,0cedf3d1e8@example.com,+19172676833
11,Emily,Miller,Sales Associate,11,2019-03-31,5cc51aeec3@example.com,+14388711431
12,Emily,Brown,Manager,12,2022-07-18,6ee0a0b1a3@example.com,+15802963962
13,Emily,Williams,Stock Clerk,13,2021-10-12,9404be8982@example.com,+11537719241
14,Jane,Smith,Stock Clerk,14,2019-02-26,e2a42fa12e@example.com,+16506891834
15,John,Williams,Sales Associate,15,2019-12-01,5c3949e244@example.com,+11084450371
16,John,Brown,Stock Clerk,16,2020-08-06,969c11b132@example.com,+12579246576
17,Emily,Davis,Stock Clerk,17,2022-03-27,f3ff34d603@example.com,+19160452478
18,Jane,Davis,Stock Clerk,18,2021-06-02,8f66e89c87@example.com,+11061531305
19,David,Smith,Cashier,19,2021-03-03,2cc887237d@example.com,+15047947247
20,Sarah,Jones,Stock Clerk,20,2018-11-19,9eb776fe7c@example.com,+14580796619
21,Michael,Miller,Manager,21,2020-09-11,567966e38d@example.com,+14215202465
22,Emily,Johnson,Sales Associate,22,2019-02-05,f5ff090696@example.com,+13888788774
23,Emily,Smith,Manager,23,2022-05-17,5ce43ffb67@example.com,+15770182812
24,Lisa,Brown,Cashier,24,2022-04-02,77a06c599e@example.com,+14709223439
25,John,Williams,Sales Associate,25,2020-08-12,1bd1bc6fff@example.com,+17907014628
26,John,Miller,Customer Service,26,2019-02-18,a444415bea@example.com,+18310035232
27,Lisa,Brown,Manager,27,2019-11-01,afbdfe88aa@example.com,+15292096901
28,Sarah,Williams,Sales Associate,28,2019-10-12,a6dccbf68e@example.com,+11812710342
29,Jane,Jones,Stock Clerk,29,2020-11-16,3108a0821c@example.com,+16008104143
30,Emily,Williams,Stock Clerk,30,2018-12-27,b43c6ce851@example.com,+17098142127
31,Michael,Johnson,Stock Clerk,31,2019-02-05,93fd61a381@example.com,+18119300310
32,Michael,Smith,Cashier,32,2021-01-22,eb58a280d9@example.com,+15187361097
33,Lisa,Johnson,Customer Service,33,2022-06-16,2a302a633f@example.com,+15371303518
34,David,Smith,Manager,34,2019-06-09,0ab506c9b6@example.com,+11075238441
35,Emily,Miller,Stock Clerk,35,2018-10-08,004686933b@example.com,+19859926204
